Orbital Period(Hr),Eccentricity,Transit_duration(Hr),Transist dept(ppm),Planet star radius ratio,Planet radius (Earth Radius),Orbital Semi major axis(au),inclination(degree),planet star distance over star radius,stellar effective temperature(K),Stellar radius(solar radius),Stellar mass(solar mass)
0.241842544,0,0.7257,203,0.013375,1.16,0.0073,83.08,2.542,5834,0.797,0.875
0.259819659,0,0.6513,232,0.021215,1.22,0.0065,45.08,1.376,3939,0.526,0.55
0.293630085,0,2.3857,2020,0.286276,26.35,0.0084,18.91,1.302,5665,0.843,0.928
0.299697755,0,0.8473,347,0.0238,2.03,0.0081,44.72,1.356,5180,0.782,0.787
0.306702491,0,0.9074,139,0.010797,0.93,0.008,86.24,2.643,5310,0.786,0.732
0.306937807,0,0.5925,119,0.010129,0.82,0.0081,89.92,4.04,5088,0.741,0.762
0.312941621,0,2.0646,35300,0.447207,58.02,0.0092,42.97,1.615,6286,1.188,1.051
0.323021692,0,2.3442,47100,0.43711,46.4,0.0087,45.26,1.579,5458,0.972,0.828
0.328686504,0,0.8592,172,0.012036,1.11,0.009,85.47,2.944,5430,0.847,0.896
0.339069751,0,1.1516,53.2,0.008785,2.09,0.0102,37.61,1.209,5653,2.183,1.216
0.341842017,0,1.1554,286,0.021058,1.72,0.0089,40.98,1.268,5016,0.747,0.817
0.352515897,0,1.0525,168,0.01191,1,0.0092,84.23,2.58,5465,0.766,0.857
0.364860478,0,1.4736,113,0.009721,0.68,0.0086,82.14,1.9491,5220,0.642,0.63
0.366197145,0,1.2335,275,0.014924,51.34,0.0122,81.97,2.28,4448,31.5,1.789
0.373684977,0,0.9621,457,0.022703,2.25,0.0102,62.79,1.881,5970,0.908,0.996
0.379412331,0,1.561,594,0.021795,1.59,0.009,82.85,1.95,4331,0.666,0.675
0.379463865,0,0.86896,1970,0.305894,59.56,0.0099,46.6,1.814,5075,1.783,0.905
0.393726813,0,2.95,565,0.214695,24.17,0.0108,13.75,1.226,6277,1.031,1.085
0.393727296,0,3.02,904,0.261231,23.05,0.0101,15.47,1.274,5628,0.808,0.903
0.413334492,0,2.3808,2030,0.284068,31.52,0.0112,23.49,1.341,5973,1.016,1.099
0.416995408,0,0.8928,113,0.009886,0.84,0.0097,88.6,3.64,6150,0.781,0.701
0.422015793,0,1.23416,1290,0.078833,6.69,0.0104,43.5,1.4018,5614,0.777,0.858
0.423854275,0,1.0198,235,0.014309,0.58,0.008,81.32,2.971,3553,0.368,0.383
